Security Code,Issuer Name,Security Id,ISIN No,Industry
530439,Siddha Ventures Limited,SIDDHA,INE140C01012,Non Banking Financial Company (NBFC)
530443,Kiran Syntex Ltd.,KIRANSY-B,INE293D01017,Other Textile Products
530445,Sumeru Industries Ltd.,SUMERUIND,INE764B01029,Trading & Distributors
530449,Rungta Irrigation Ltd.,RUNGTAIR,INE347C01013,Plastic Products - Industrial
530457,Cinerad Communications Ltd.,CINERAD,INE959B01017,Film Production- Distribution & Exhibition
530459,Valson Industries Ltd.,VALSONQ,INE808A01018,Other Textile Products
530461,Saboo Sodium Chloro Ltd.,SABOOSOD,INE440C01016,Other Food Products
530469,GSL Securities Ltd.,GSLSEC,INE721D01017,Non Banking Financial Company (NBFC)
530475,Tinna Rubber and Infrastructure Limited,TINNARUBR,INE015C01016,Specialty Chemicals
530477,Vikram Thermo (India) Ltd.,VIKRAMTH,INE337E01010,Commodity Chemicals
530495,STRATMONT INDUSTRIES LIMITED,STRATMONT,INE473C01025,Trading & Distributors
530499,A.K.Capital Services Ltd.,AKCAPIT,INE701G01012,Non Banking Financial Company (NBFC)
530517,Relaxo Footwears Ltd.,RELAXO,INE131B01039,Footwear
530521,Virat Industries Ltd.,VIRAT,INE467D01017,Garments & Apparels
530525,Sheetal Diamonds Ltd.,SHEETAL,INE786J01025,Gems- Jewellery And Watches
530533,Terai Tea Co. Ltd.,TERAI,INE390D01011,Tea & Coffee
530537,Manraj Housing Finance Ltd.,MANRAJH,INE948I01015,Housing Finance Company
530545,Cosco (India) ltd.,COSCO,INE949B01018,Leisure Products
530549,Shilpa Medicare Ltd.,SHILPAMED,INE790G01031,Pharmaceuticals
530555,Paramount Communications Ltd.,PARACABLES,INE074B01023,Cables - Electricals
530557,NCL Research And Financial Services,NCLRESE,INE132F01038,Non Banking Financial Company (NBFC)
530565,Archana Software Ltd.,SSLFINANCE,INE149B01015,Software Products
530571,Explicit Finance Limited,EXPLICITFIN,INE335G01019,Diversified Commercial Services
530577,Ladderup Finance Ltd.,LADDERUP,INE519D01015,Non Banking Financial Company (NBFC)
530579,U. Y. FINCORP LIMITED,UYFINCORP,INE152C01025,Non Banking Financial Company (NBFC)
530581,Ekam Leasing & Finance Co. Ltd.,EKAMLEA,INE906L01025,Diversified Commercial Services
530585,Swastika Investmart Ltd,SWASTIKA,INE691C01014,Stockbroking & Allied
530589,Prima Plastics Ltd.,PRIMAPLA,INE573B01016,Plastic Products - Consumer
530595,TeleCanor Global Limited,TELECANOR,INE381G01013,Software Products
530609,Carnation Industries Ltd.,CARNATIN,INE081B01010,Other Industrial Products
530611,Sturdy Industries Ltd.,STURDY,INE134F01026,Plastic Products - Industrial
530615,Garg Furnace Ltd.,GARGFUR,INE194E01015,Iron & Steel Products
530617,Sampre Nutritions Ltd.,SAMPRE,INE375C01014,Packaged Foods
530621,Akar Auto Industries Limited,AAIL,INE864E01021,Auto Components & Equipments
530627,Vipul Organics Limited,VIPULORG,INE834D01018,Specialty Chemicals
530643,Eco Recycling Limited,ECORECO,INE316A01038,Waste Management
530655,Goodluck India Limited,GOODLUCK,INE127I01024,Iron & Steel Products
530663,Goyal Associates Ltd.,GOYALASS,INE912B01032,Non Banking Financial Company (NBFC)
530665,Zenith Health Care Ltd.,ZENITHHE,INE812B01026,Pharmaceuticals
530669,ACE ENGITECH LIMITED,ACEENGITEC,INE035401012,IT Enabled Services
530675,York Exports Ltd.,YORKEXP,INE057Q01018,Gems- Jewellery And Watches
530677,Supreme Holdings & Hospitality (India) Ltd,SUPREME,INE822E01011,Residential- Commercial Projects
530689,Lykis Limited,LYKISLTD,INE624M01014,Trading & Distributors
530695,Prime Property Development Corporation Ltd.,PRIMEPRO,INE233C01023,Residential- Commercial Projects
530697,Zenlabs Ethica Limited,ZENLABS,INE546F01013,Diversified Commercial Services
530699,Raj Rayon Industries Limited,RAJRAYON,INE533D01032,Other Textile Products
530705,Flora Textiles Ltd.,FLORATX,INE161F01011,Other Textile Products
530709,Gowra Leasing & Finance Ltd.,GOWRALE,INE225G01012,Non Banking Financial Company (NBFC)
530711,Jagan Lamps Ltd.,JAGANLAM,INE144C01014,Auto Components & Equipments
530713,AJEL Limited,AJEL,INE229B01015,Computers - Software & Consulting
530715,Alps Industries Ltd.,ALPSINDUS,INE093B01015,Other Textile Products
530723,Asit C Mehta Financial Services Limited,ASITCFIN,INE041B01014,Stockbroking & Allied
530733,ENCODE PACKAGING INDIA LIMITED,ENCODE,INE900O01014,Print Media
530735,Super Bakers (India) Ltd.,SUPERBAK,INE897A01011,Packaged Foods
530741,Ovobel Foods Ltd.,OVOBELE,INE812S01012,Meat Products including Poultry
530747,Indo Asian Finance Limited,INDOASIAF,INE807A01010,Non Banking Financial Company (NBFC)
530755,Coral Newsprints Ltd.,CORNE,INE715D01019,Paper & Paper Products
530759,Sterling Tools Ltd.,STERTOOLS,INE334A01023,Auto Components & Equipments
530777,Infra Industries Ltd.,INFRAIND,INE287D01019,Plastic Products - Industrial
530779,Dynamic Protfolio Management & Serv,DYNAMICP,INE118C01018,Non Banking Financial Company (NBFC)
530787,Inland Printers Ltd.,INLANPR,INE055O01033,Printing & Publication
530789,Ceejay Finance Limited,CEEJAY,INE358C01010,Non Banking Financial Company (NBFC)
530795,Suncity Synthetics Ltd.,SUNCITYSY,INE584D01019,Other Textile Products
530797,Shree Ganesh Elastoplast Ltd,SHGANEL,INE400N01017,Trading & Distributors
530799,Anna Infrastructures Ltd,ANNAINFRA,INE336D01014,Non Banking Financial Company (NBFC)
530803,Bhageria Industries Limited,BHAGIL,INE354C01027,Dyes And Pigments
530809,BNR Udyog Ltd.,BNRUDY,INE355C01016,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
530813,KRBL Ltd.,KRBL,INE001B01026,Other Agricultural Products
530815,Refnol Resins & Chemicals Ltd.,REFNOL,INE428C01011,Commodity Chemicals
530821,SSPDL Limited,SSPDL,INE838C01011,Residential- Commercial Projects
530825,Daikaffil Chemicals India Ltd.,DAIKAFFI,INE789B01018,Specialty Chemicals
530829,Cil Securities Ltd.,CILSEC,INE830A01012,Non Banking Financial Company (NBFC)
530839,Clio Infotech Ltd.,CLIOINFO,INE011B01017,Software Products
530841,Shri Bholanath Carpets Limited,SHRIBCL,INE151F01012,Furniture- Home Furnishing
530843,Cupid Limited,CUPID,INE509F01011,Personal Care
530845,Sunshield Chemicals Ltd.,SUNSHIEL,INE199E01014,Specialty Chemicals
530853,Hipolin Ltd.,HIPOLIN,INE963A01011,Household Products
530855,GDL Leasing & Finance ltd.,GDLLEAS,INE545E01018,Non Banking Financial Company (NBFC)
530871,Chembond Chemicals Ltd.,CHEMBOND,INE995D01025,Specialty Chemicals
530879,CAPITAL INDIA FINANCE LIMITED,CIFL,INE345H01016,Non Banking Financial Company (NBFC)
530881,Arunjyoti Bio Ventures Limited ,ABVL,INE485K01014,Other Financial Services
530883,Super Crop Safe Ltd.,SUCROSA,INE366G01022,Pesticides & Agrochemicals
530897,N.G.Industries Ltd.,NGIND,INE825C01018,Healthcare Service Provider
530899,Asia Pack Ltd.,ASIAPAK,INE784M01016,Other Textile Products
